node1,node2,bwd,delay,pkloss
5,2,100000.000000,138.549231,0.000000
6,8,99926.333451,46.269211,0.000000
2,12,50000.000000,149.508868,0.000000
12,8,49955.627909,78.498531,0.000000
4,5,49982.577778,67.415447,9.508916
11,9,49791.924686,110.715153,5.764695
3,1,98693.253270,98.816790,26.579987
4,10,99958.070438,54.922978,1.492870
3,7,19869.914070,89.410394,23.466333
7,3,19869.914070,89.410394,23.466333
11,3,99833.022266,158.743142,11.411944
9,2,49875.189854,96.567307,0.000000
6,10,49939.678146,53.213350,0.000000
5,8,99883.000005,67.508334,0.000000
6,2,99996.376590,117.282810,0.000000
6,7,19980.253146,62.154534,0.000000
3,11,99833.022266,158.743142,11.411944
5,1,97011.277464,92.795763,0.000000
8,12,49955.627909,78.498531,0.000000
8,5,99883.000005,67.508334,0.000000
12,2,50000.000000,149.508868,0.000000
9,11,49791.924686,110.715153,5.764695
5,4,49982.577778,67.415447,9.508916
11,5,99934.602232,152.681086,12.095625
2,9,49875.189854,96.567307,0.000000
1,3,98693.253270,98.816790,26.579987
7,6,19980.253146,62.154534,0.000000
10,5,49716.690090,74.444457,0.000000
8,6,99926.333451,46.269211,0.000000
2,5,100000.000000,138.549231,0.000000
10,6,49939.678146,53.213350,0.000000
10,4,99958.070438,54.922978,1.492870
1,5,97011.277464,92.795763,0.000000
2,6,99996.376590,117.282810,0.000000
5,10,49716.690090,74.444457,0.000000
5,11,99934.602232,152.681086,12.095625
