node1,node2,bwd,delay,pkloss
14,15,49990.613333,320.248497,18.823529
16,15,49994.794667,888.364329,14.896472
21,14,49899.553932,1235.869211,0.379117
23,22,99994.218715,1063.579464,0.000000
15,16,49994.794667,888.364329,14.896472
18,19,99978.795865,137.707552,9.889558
17,13,99957.504427,823.476492,0.000000
20,19,49972.932736,1026.682664,99.900000
20,23,49375.688262,744.345103,29.930280
22,18,49657.870417,810.305402,24.678742
15,14,49990.613333,320.248497,18.823529
16,21,99891.636361,1370.730461,0.412738
21,20,99768.589720,1472.803027,26.533715
19,20,49972.932736,1026.682664,99.900000
18,22,49657.870417,810.305402,24.678742
21,13,99881.238534,899.540800,0.000000
17,16,25000.000000,1477.441819,99.900000
20,21,99768.589720,1472.803027,26.533715
19,18,99978.795865,137.707552,9.889558
22,17,19777.753455,1241.351193,0.478480
23,20,49375.688262,744.345103,29.930280
22,23,99994.218715,1063.579464,0.000000
14,21,49899.553932,1235.869211,0.379117
17,22,19777.753455,1241.351193,0.478480
13,17,99957.504427,823.476492,0.000000
21,16,99891.636361,1370.730461,0.412738
13,21,99881.238534,899.540800,0.000000
16,17,25000.000000,1477.441819,99.900000
