node1,node2,bwd,delay,pkloss
6,2,99927.135127,78.136891,0.000000
6,7,19973.796609,82.783051,0.000000
6,10,49966.400006,78.278246,13.095238
5,8,98543.460676,106.152662,0.113895
5,4,49483.733244,106.420705,0.000000
11,5,98647.521550,1672.369445,0.000000
3,11,99628.446420,1721.588787,35.449937
5,1,97275.855383,32.903932,56.380580
8,12,49894.766663,138.922279,0.000000
8,5,98543.460676,106.152662,0.113895
12,2,49896.893568,175.104816,0.000000
9,11,49392.985962,1708.356984,0.000000
2,9,49693.208171,74.400772,0.000000
10,4,99949.250010,93.450684,6.842105
1,5,97275.855383,32.903932,56.380580
1,3,99968.523282,120.008575,0.000000
7,6,19973.796609,82.783051,0.000000
10,5,49362.778248,90.822695,49.189680
8,6,100000.000000,78.343065,0.000000
2,5,99236.276844,106.358040,0.000000
10,6,49966.400006,78.278246,13.095238
2,6,99927.135127,78.136891,0.000000
5,11,98647.521550,1672.369445,0.000000
5,10,49362.778248,90.822695,49.189680
6,8,100000.000000,78.343065,0.000000
2,12,49896.893568,175.104816,0.000000
5,2,99236.276844,106.358040,0.000000
11,9,49392.985962,1708.356984,0.000000
3,1,99968.523282,120.008575,0.000000
12,8,49894.766663,138.922279,0.000000
4,5,49483.733244,106.420705,0.000000
3,7,19737.077494,119.942217,40.584334
4,10,99949.250010,93.450684,6.842105
11,3,99628.446420,1721.588787,35.449937
9,2,49693.208171,74.400772,0.000000
7,3,19737.077494,119.942217,40.584334
22,18,49770.258651,67.277120,0.000000
15,14,49871.360211,15.824663,0.635955
16,21,99672.152885,60.280694,0.361392
19,20,99905.957706,30.190878,25.049861
18,22,49770.258651,67.277120,0.000000
21,13,99862.986678,80.250411,0.000000
17,16,49799.021856,70.384194,0.000000
20,21,99574.447340,2189.704317,65.508717
21,20,99574.447340,2189.704317,65.508717
19,18,99916.799824,69.743126,0.000000
22,17,19891.019468,54.689228,0.627706
23,20,49787.039717,53.339967,84.563280
22,23,99725.535130,80.507542,5.842986
14,21,49686.572342,80.211679,0.334065
17,22,19891.019468,54.689228,0.627706
13,17,99909.041592,55.213458,0.682984
21,16,99672.152885,60.280694,0.361392
13,21,99862.986678,80.250411,0.000000
16,17,49799.021856,70.384194,0.000000
16,15,49927.464855,93.721097,0.815076
21,14,49686.572342,80.211679,0.334065
23,22,99725.535130,80.507542,5.842986
15,16,49927.464855,93.721097,0.815076
18,19,99916.799824,69.743126,0.000000
14,15,49871.360211,15.824663,0.635955
17,13,99909.041592,55.213458,0.682984
20,19,99905.957706,30.190878,25.049861
20,23,49787.039717,53.339967,84.563280
